State,Scheme,Cycle,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
ANDAMAN & NICOBAR,,2024-25,0,16.47,83.53,0.09,9.04,90.87,0.01,14.89,85.1,0.39,8.91,90.7,0.02,14.42,85.56,88.94,11.06,6.75,93.25,99.99,0.01,92.6,7.4,97.66,2.34,98.22,1.78,99.22,0.78
ANDHRA PRADESH,,2024-25,1.79,24.81,73.4,50.55,34.78,14.66,57.47,31.92,10.61,17.1,24.82,58.09,5.97,0.8,93.22,92.95,7.05,86.04,13.96,70.46,29.54,61.5,38.5,94.29,5.71,73.58,26.42,87.6,12.4
ARUNACHAL PRADESH,,2024-25,13.85,74.34,11.8,22.2,66.58,11.21,14.4,65.47,20.13,34.84,47.4,17.76,0.13,50.96,48.9,97.04,2.96,76.78,23.22,87.89,12.11,90.89,9.11,95.17,4.83,76.83,23.17,83.38,16.62
ASSAM,,2024-25,41.87,56.13,2,59.8,27.04,13.15,8.86,50.13,41.01,50.57,18.04,31.39,0,41.46,58.54,99.87,0.13,92.14,7.86,99.31,0.69,75.63,24.37,92.82,7.18,17.65,82.35,87.44,12.56
BIHAR,,2024-25,0.92,36.41,62.67,75.6,20.31,4.08,20.62,72.82,6.56,13.55,52.88,33.56,1.08,3.47,95.45,98.9,1.1,77.89,22.11,93.61,6.39,76.77,23.23,98.52,1.48,59.74,40.26,95.44,4.56
CHHATTISGARH,,2024-25,0.18,23.11,76.71,8.86,67.38,23.76,45.32,50.51,4.17,11.85,36.53,51.62,0.26,11.91,87.83,99.59,0.41,64.7,35.3,90.37,9.63,51.4,48.6,97.05,2.95,78.03,21.97,98.24,1.76
GOA,,2024-25,18.73,50.67,30.6,26.13,19.85,54.01,34.36,35.8,29.84,76.49,7.12,16.39,0.02,59.58,40.4,91.49,8.51,35.62,64.38,96.74,3.26,65.04,34.96,96.15,3.85,58.28,41.72,92.67,7.33
GUJARAT,,2024-25,0.22,17.87,81.92,62.98,26.57,10.46,59.71,34.98,5.3,31.17,35.54,33.29,1.82,0.36,97.83,84.6,15.4,74.8,25.2,67.47,32.53,59.84,40.16,92.96,7.04,47.76,52.24,92.05,7.95
HARYANA,,2024-25,0,3.55,96.45,56.5,33.31,10.19,30.72,44.21,25.08,5.55,18.89,75.56,3.85,0.03,96.12,91.19,8.81,94.8,5.2,68.11,31.89,75.61,24.39,92.16,7.84,58.09,41.91,78.5,21.5
HIMACHAL PRADESH,,2024-25,1.21,43.97,54.82,28.71,59.58,11.71,40.52,48.82,10.66,73.1,19.38,7.52,0.07,0.96,98.97,99.82,0.18,97.68,2.32,96.36,3.64,95.64,4.36,98.68,1.32,99.7,0.3,88.63,11.37
JAMMU & KASHMIR,,2024-25,17.33,59.8,22.87,49.15,47.53,3.32,22.5,70.7,6.8,60.12,26.36,13.52,1.13,2.44,96.43,95.04,4.96,87,13,63.3,36.7,77.36,22.64,94.49,5.51,81.62,18.38,82.69,17.31
JHARKHAND,,2024-25,0.54,55.35,44.11,24.98,64.18,10.84,8.13,79.07,12.79,16.3,49.74,33.96,0.22,38.08,61.7,99.41,0.59,79.47,20.53,97.12,2.88,83.61,16.39,98.25,1.75,64.03,35.97,96.1,3.9
KARNATAKA,,2024-25,5.46,34.7,59.84,55.4,35.68,8.92,39.01,46.16,14.83,27.28,32.37,40.35,3.25,8.9,87.84,91.5,8.5,67.82,32.18,53.8,46.2,44.46,55.54,94.09,5.91,45.96,54.04,85.1,14.9
KERALA,,2024-25,0.04,0.99,98.97,74.47,16.45,9.08,29.45,41.78,28.76,64.27,17.72,18.01,0.09,32.55,67.36,99.12,0.88,53.08,46.92,97.85,2.15,94.27,5.73,99.44,0.56,52.56,47.44,95.91,4.09
LADAKH,,2024-25,0,0,0,39.94,45.73,14.33,57.2,34.05,8.75,82.61,10.54,6.85,4.74,0.16,95.1,84.3,15.7,0,0,80.03,19.97,90.93,9.07,89.38,10.62,0,0,79.72,20.28
MADHYA PRADESH,,2024-25,0.58,31.58,67.84,25.26,64.82,9.92,39.65,56.58,3.77,29.94,38.92,31.14,0.61,1.45,97.95,93.89,6.11,81.24,18.76,78.89,21.11,54.97,45.03,93.67,6.33,74.89,25.11,91.76,8.24
MAHARASHTRA,,2024-25,0.96,11.45,87.6,24.37,53.09,22.54,66.14,29.45,4.42,18.7,25.73,55.57,2.09,2.78,95.13,99.5,0.5,44.54,55.46,40.5,59.5,48.28,51.72,95.94,4.06,55.23,44.77,87.61,12.39
